Price_Dollars,Q_Low_Gallons_per_Day,Q_High_Gallons_per_Day
3.07,"136,654","119,737"
3.59,"129,765","142,781"
4.04,"116,638","135,465"
4.52,"103,509","136,424"
5.03,"127,965","133,963"
5.57,"116,846","142,611"
6.00,"114,873","112,254"
6.57,"109,638","136,498"
7.05,"100,635","136,389"
7.55,"117,096","120,384"
8.07,"120,148","105,327"
8.50,"97,097","119,287"
9.06,"90,002","118,743"
9.59,"105,702","103,114"
10.02,"105,274","109,818"
10.56,"99,190","105,729"
11.08,"77,755","108,111"
11.59,"82,770","131,548"
12.01,"72,952","102,954"
